"parcel_id","Easting","Northing","elevation"
1,0.5,0.5,434.647558014418
2,1.5,0.5,709.205331019557
3,2.5,0.5,1000.25217577814
4,3.5,0.5,296.809685457014
5,4.5,0.5,412.289043163273
6,5.5,0.5,123.026188272037
7,6.5,0.5,325.860834753506
8,7.5,0.5,-14.9423380662838
9,8.5,0.5,102.632862950594
10,9.5,0.5,47.1453730758718
11,10.5,0.5,385.490253971062
12,11.5,0.5,51.8490536759875
13,12.5,0.5,494.715548750026
14,13.5,0.5,707.988096688823
15,14.5,0.5,499.38773717104
16,15.5,0.5,450.721161498126
17,16.5,0.5,-121.550088037567
18,17.5,0.5,-44.7433882434479
19,18.5,0.5,548.409087496678
20,19.5,0.5,574.176273099832
21,20.5,0.5,566.722023965364
22,21.5,0.5,897.811000035056
23,22.5,0.5,1114.00213783711
24,23.5,0.5,894.707351005291
25,24.5,0.5,194.771904482319
26,25.5,0.5,101.83503816118
27,26.5,0.5,17.0444799350931
28,27.5,0.5,927.119845454432
29,28.5,0.5,1196.0008987112
30,29.5,0.5,1024.44288534044
31,30.5,0.5,838.01757804458
32,31.5,0.5,708.335722280696
33,32.5,0.5,635.617299786908
34,33.5,0.5,-73.3086609232708
35,34.5,0.5,583.103476238382
36,35.5,0.5,422.363141734155
37,36.5,0.5,601.532070375143
38,37.5,0.5,419.929708542794
39,38.5,0.5,155.607531534166
40,39.5,0.5,681.195203284209
41,40.5,0.5,711.589093500157
42,41.5,0.5,1242.38448261511
43,42.5,0.5,1480.77967643524
44,43.5,0.5,1114.09261690012
45,44.5,0.5,952.180409116139
46,45.5,0.5,745.968401087051
47,46.5,0.5,922.999294736238
48,47.5,0.5,541.615669301676
49,48.5,0.5,497.459564910693
50,49.5,0.5,233.214535197078
51,50.5,0.5,169.765863408912
52,51.5,0.5,223.421067314307
53,52.5,0.5,101.892472497948
54,53.5,0.5,679.347125928034
55,54.5,0.5,685.895699015505
56,55.5,0.5,563.573722736051
57,56.5,0.5,590.518566279729
58,57.5,0.5,21.3905138309237
59,58.5,0.5,725.431671014128
60,59.5,0.5,785.975563976789
61,60.5,0.5,839.637271705028
62,61.5,0.5,773.545584488606
63,62.5,0.5,320.443186887467
64,63.5,0.5,463.801377749205
65,64.5,0.5,797.568478151612
66,65.5,0.5,665.528578202493
67,66.5,0.5,870.44183934534
68,67.5,0.5,391.721513397425
69,68.5,0.5,418.66682123451
70,69.5,0.5,637.741296626421
71,70.5,0.5,581.453815075373
72,71.5,0.5,861.076526697859
73,72.5,0.5,1232.24158929401
74,73.5,0.5,1629.19439142618
75,74.5,0.5,1031.55714775783
76,75.5,0.5,393.37184107886
77,76.5,0.5,237.507440234516
78,77.5,0.5,29.3563082428624
79,78.5,0.5,-915.648664773639
80,79.5,0.5,-988.787607763866
81,80.5,0.5,-341.291088159781
82,81.5,0.5,115.993630968479
83,82.5,0.5,-203.64791552267
84,83.5,0.5,-49.8942154260781
85,84.5,0.5,-82.7172730776271
86,85.5,0.5,-14.3902857267964
87,86.5,0.5,-376.076237527945
88,87.5,0.5,-0.810267855785526
89,88.5,0.5,670.329986276874
90,89.5,0.5,507.465247562871
91,90.5,0.5,457.188775473359
92,91.5,0.5,826.739038850389
93,92.5,0.5,-157.566643411234
94,93.5,0.5,-288.620441087253
95,94.5,0.5,-307.914611315715
96,95.5,0.5,493.272095174679
97,96.5,0.5,786.940719479235
98,97.5,0.5,987.43862111998
99,98.5,0.5,388.41566733957
100,99.5,0.5,265.014736771546
101,100.5,0.5,-166.11995892968
102,101.5,0.5,81.6157714778508
103,102.5,0.5,160.760723772475
104,103.5,0.5,-78.4341332699712
105,104.5,0.5,-242.63131874618
106,105.5,0.5,187.61310902792
107,106.5,0.5,1011.48731559527
108,107.5,0.5,1333.48218977704
109,108.5,0.5,1130.71869281319
110,109.5,0.5,1057.66314730784
111,110.5,0.5,623.640965913512
112,111.5,0.5,532.681530341719
113,112.5,0.5,109.569341451441
114,113.5,0.5,-49.3260285219326
115,114.5,0.5,-450.964698469416
116,115.5,0.5,-314.303999582903
117,116.5,0.5,-665.512944289757
118,117.5,0.5,-649.371131796521
119,118.5,0.5,-512.853161544998
120,119.5,0.5,-320.172097664188
121,120.5,0.5,-897.640398410754
122,121.5,0.5,-624.283269747832
123,122.5,0.5,157.736797233505
124,123.5,0.5,612.676391482126
125,124.5,0.5,87.9002835559385
126,125.5,0.5,127.282557765371
127,126.5,0.5,-35.8247410777383
128,127.5,0.5,-64.271501444327
129,128.5,0.5,235.371908864965
130,129.5,0.5,-198.965276697877
131,130.5,0.5,339.536167939121
132,131.5,0.5,1.39925743676179
133,132.5,0.5,-281.449038712535
134,133.5,0.5,-394.480338178511
135,134.5,0.5,307.059475585234
136,135.5,0.5,-626.337834374726
137,136.5,0.5,-304.399476580091
138,137.5,0.5,-134.824463741349
139,138.5,0.5,-272.582701363148
140,139.5,0.5,-468.438491542138
141,140.5,0.5,-558.570295516263
142,141.5,0.5,-225.047528910594
143,142.5,0.5,307.237608549
144,143.5,0.5,-136.79158953681
145,144.5,0.5,-298.253212323212
146,145.5,0.5,469.735702702054
147,146.5,0.5,572.322678828539
148,147.5,0.5,886.563819535239
149,148.5,0.5,754.082058949472
150,149.5,0.5,421.548952351255
151,0.5,1.5,436.680350831265
152,1.5,1.5,871.667746564199
153,2.5,1.5,661.499523737175
154,3.5,1.5,959.405575946362
155,4.5,1.5,423.793357634872
156,5.5,1.5,-379.021006668698
157,6.5,1.5,98.0393549309143
158,7.5,1.5,-274.159567015242
159,8.5,1.5,659.170814778592
160,9.5,1.5,817.440024914211
161,10.5,1.5,758.398822776263
162,11.5,1.5,567.434167768387
